SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
0	1101	115143	105019
1	1101	9418	9081
2	1101	9346	9037
3	1101	9731	9350
4	1101	12258	11666
5	1101	12881	12409
6	1101	8723	8407
7	1101	6492	6244
8	1101	8800	8446
9	1101	9028	8717
10	1101	10295	9936
11	1101	8022	7723
12	1101	8471	8136
13	1101	11040	10615
14	1101	9250	8897
15	1101	9070	8713
16	1101	12400	11875
17	1101	15506	14940
18	1101	8268	7962
19	1101	5956	5716
20	1101	9032	8690
21	1101	6757	6503
22	1101	5199	5011
23	1101	7101	6793
24	1101	11203	10683
25	1101	11120	10657
26	1101	9062	8673
27	1101	10439	10032
28	1101	10769	10284
29	1101	9402	9015
30	1101	11738	11254
31	1101	13175	12418
32	1101	16071	15247
0	1102	117360	106088
1	1102	9517	9083
2	1102	9272	8945
3	1102	9482	9111
4	1102	11947	11257
5	1102	13046	12529
6	1102	8473	8121
7	1102	6518	6258
8	1102	8621	8295
9	1102	8841	8510
10	1102	10181	9800
11	1102	7822	7468
12	1102	8374	8054
13	1102	10946	10438
14	1102	9014	8606
15	1102	8676	8321
16	1102	11941	11343
17	1102	15382	14718
18	1102	8407	8086
19	1102	5944	5672
20	1102	9065	8657
21	1102	6478	6214
22	1102	5149	4967
23	1102	6950	6606
24	1102	11058	10527
25	1102	11373	10890
26	1102	8978	8560
27	1102	10113	9645
28	1102	10820	10318
29	1102	9433	9020
30	1102	11696	11117
31	1102	13006	12193
32	1102	15683	14795
0	1103	118418	108391
1	1103	9465	9111
2	1103	9130	8847
3	1103	9351	9023
4	1103	12003	11444
5	1103	12706	12249
6	1103	8671	8361
7	1103	6350	6137
8	1103	8458	8191
9	1103	8824	8515
10	1103	10004	9663
11	1103	7711	7444
12	1103	8305	8050
13	1103	10925	10562
14	1103	8908	8561
15	1103	8600	8280
16	1103	11989	11504
17	1103	15416	14859
18	1103	8240	7980
19	1103	5789	5564
20	1103	8888	8551
21	1103	6413	6178
22	1103	5116	4952
23	1103	6862	6589
24	1103	11013	10525
25	1103	11315	10909
26	1103	8672	8366
27	1103	10097	9756
28	1103	10579	10158
29	1103	9354	9002
30	1103	11442	10936
31	1103	12855	12155
32	1103	15484	14625
0	1104	119264	107323
1	1104	9226	8884
2	1104	8903	8565
3	1104	9239	8870
4	1104	11829	11169
5	1104	12592	12066
6	1104	8417	8054
7	1104	6376	6133
8	1104	8473	8117
9	1104	8800	8429
10	1104	9629	9261
11	1104	7729	7423
12	1104	8416	8057
13	1104	10783	10338
14	1104	8937	8568
15	1104	8512	8176
16	1104	11926	11304
17	1104	15089	14452
18	1104	8115	7776
19	1104	5769	5475
20	1104	8725	8300
21	1104	6364	6107
22	1104	5092	4879
23	1104	6968	6632
24	1104	10862	10343
25	1104	11121	10638
26	1104	8690	8287
27	1104	10037	9598
28	1104	10584	10097
29	1104	9187	8757
30	1104	11424	10908
31	1104	12793	11957
32	1104	15249	14312
0	1105	120260	109316
1	1105	9280	8929
2	1105	8887	8603
3	1105	9465	9087
4	1105	11672	11153
5	1105	12726	12276
6	1105	8523	8224
7	1105	6396	6135
8	1105	8560	8254
9	1105	8880	8589
10	1105	9791	9402
11	1105	7756	7487
12	1105	8379	8039
13	1105	10757	10323
14	1105	8637	8332
15	1105	8533	8184
16	1105	11664	11203
17	1105	15144	14606
18	1105	8172	7901
19	1105	5568	5375
20	1105	8656	8319
21	1105	6200	5964
22	1105	5120	4943
23	1105	6754	6492
24	1105	10752	10276
25	1105	11263	10847
26	1105	8660	8295
27	1105	9988	9608
28	1105	10532	10070
29	1105	9247	8870
30	1105	11445	10960
31	1105	12659	11966
32	1105	15340	14516
0	1106	120711	109535
1	1106	9251	8921
2	1106	9071	8733
3	1106	9362	9000
4	1106	11616	11057
5	1106	12684	12178
6	1106	8654	8293
7	1106	6417	6163
8	1106	8422	8107
9	1106	8744	8424
10	1106	9922	9544
11	1106	7657	7347
12	1106	8306	7997
13	1106	10747	10313
14	1106	8789	8457
15	1106	8531	8234
16	1106	11810	11314
17	1106	15157	14615
18	1106	8164	7852
19	1106	5531	5281
20	1106	8614	8244
21	1106	6428	6172
22	1106	5127	4933
23	1106	6877	6584
24	1106	10818	10303
25	1106	11147	10720
26	1106	8761	8401
27	1106	10047	9587
28	1106	10675	10207
29	1106	9091	8726
30	1106	11294	10769
31	1106	12816	12035
32	1106	15212	14378
0	1107	121348	111381
1	1107	9069	8772
2	1107	9153	8912
3	1107	9368	9033
4	1107	11659	11157
5	1107	12823	12386
6	1107	8526	8242
7	1107	6331	6127
8	1107	8620	8347
9	1107	8718	8457
10	1107	9744	9465
11	1107	7589	7346
12	1107	8401	8138
13	1107	10882	10485
14	1107	8951	8673
15	1107	8784	8468
16	1107	12161	11694
17	1107	15252	14744
18	1107	8107	7845
19	1107	5658	5437
20	1107	8671	8327
21	1107	6345	6145
22	1107	5096	4935
23	1107	7059	6778
24	1107	10812	10337
25	1107	11303	10951
26	1107	8765	8482
27	1107	9972	9617
28	1107	10544	10151
29	1107	9175	8809
30	1107	11431	11014
31	1107	12796	12101
32	1107	15370	14620
0	1108	122786	111787
1	1108	9505	9217
2	1108	9155	8881
3	1108	9469	9113
4	1108	11792	11205
5	1108	13052	12571
6	1108	8569	8267
7	1108	6359	6134
8	1108	8744	8427
9	1108	8856	8556
10	1108	10065	9701
11	1108	7751	7448
12	1108	8278	7971
13	1108	11099	10653
14	1108	8852	8539
15	1108	8591	8292
16	1108	11917	11383
17	1108	15342	14816
18	1108	8387	8120
19	1108	5612	5416
20	1108	8609	8242
21	1108	6362	6145
22	1108	5034	4879
23	1108	6945	6693
24	1108	10833	10373
25	1108	11385	10966
26	1108	8887	8561
27	1108	10011	9671
28	1108	10654	10241
29	1108	9377	9000
30	1108	11479	10948
31	1108	12852	12069
32	1108	15657	14862
0	1109	122553	110027
1	1109	9479	9055
2	1109	9074	8695
3	1109	9330	8884
4	1109	11793	11067
5	1109	13092	12495
6	1109	8545	8136
7	1109	6450	6137
8	1109	8741	8343
9	1109	8765	8376
10	1109	9764	9366
11	1109	7726	7376
12	1109	8363	7950
13	1109	10887	10370
14	1109	8927	8514
15	1109	8555	8135
16	1109	12210	11534
17	1109	15421	14739
18	1109	8235	7892
19	1109	5741	5457
20	1109	8736	8263
21	1109	6393	6107
22	1109	5192	4968
23	1109	6763	6408
24	1109	10878	10296
25	1109	11181	10683
26	1109	8750	8335
27	1109	9989	9490
28	1109	10722	10191
29	1109	9091	8618
30	1109	11536	10914
31	1109	12757	11813
32	1109	15193	14219
0	1110	123598	111264
1	1110	9478	9084
2	1110	9364	8976
3	1110	9554	9143
4	1110	12062	11272
5	1110	13169	12597
6	1110	8602	8178
7	1110	6403	6095
8	1110	8686	8312
9	1110	9083	8681
10	1110	10074	9655
11	1110	7775	7417
12	1110	8593	8191
13	1110	11280	10730
14	1110	9004	8595
15	1110	8862	8459
16	1110	12207	11542
17	1110	15573	14910
18	1110	8297	7983
19	1110	5757	5502
20	1110	8786	8336
21	1110	6514	6263
22	1110	5254	5069
23	1110	7050	6677
24	1110	11011	10450
25	1110	11650	11142
26	1110	8774	8342
27	1110	10174	9673
28	1110	10693	10136
29	1110	9410	8922
30	1110	11701	11056
31	1110	12868	11882
32	1110	15585	14561
0	1111	122223	110082
1	1111	9584	9192
2	1111	9351	8984
3	1111	9596	9163
4	1111	11733	10960
5	1111	13162	12560
6	1111	8865	8444
7	1111	6598	6287
8	1111	8558	8147
9	1111	9101	8717
10	1111	10161	9687
11	1111	7906	7542
12	1111	8460	8045
13	1111	11063	10540
14	1111	9211	8803
15	1111	8770	8371
16	1111	12395	11735
17	1111	15516	14829
18	1111	8453	8121
19	1111	5893	5576
20	1111	8812	8333
21	1111	6525	6268
22	1111	5318	5099
23	1111	6934	6559
24	1111	11145	10552
25	1111	11723	11206
26	1111	8939	8521
27	1111	10510	10000
28	1111	11022	10465
29	1111	9347	8852
30	1111	11718	11115
31	1111	12769	11801
32	1111	15612	14601
0	1112	123534	111307
1	1112	9586	9198
2	1112	9341	9041
3	1112	9697	9322
4	1112	11720	11024
5	1112	13251	12740
6	1112	8720	8356
7	1112	6653	6412
